dataset,shared_label,source_url,split,image_id,local_path,download_status
PlantDoc,pepper_leaf_spot,https://raw.githubusercontent.com/pratikkayal/PlantDoc-Dataset/master/train/Bell_pepper%20leaf%20spot/pepperplantwithbacterialspotimg3206.jpg,train,image_0015,/content/selected_images/PlantDoc/train/pepper_leaf_spot/image_0015.jpg,cached
PlantVillage,pepper_healthy,https://raw.githubusercontent.com/spMohanty/PlantVillage-Dataset/master/raw/color/Pepper%2C_bell___healthy/664d7802-d1ee-4095-ac6a-61bd3e2f1c13___JR_HL%208666.JPG,train,image_0016,/content/selected_images/PlantVillage/train/pepper_healthy/image_0016.jpg,cached
PlantVillage,tomato_septoria_leaf_spot,https://raw.githubusercontent.com/spMohanty/PlantVillage-Dataset/master/raw/color/Tomato___Septoria_leaf_spot/1a02cfc4-375a-4be1-82a6-fa7ec5117ced___Matt.S_CG%206049.JPG,train,image_0017,/content/selected_images/PlantVillage/train/tomato_septoria_leaf_spot/image_0017.jpg,cached
PlantDoc,tomato_late_blight,https://raw.githubusercontent.com/pratikkayal/PlantDoc-Dataset/master/train/Tomato%20leaf%20late%20blight/5816170621_e1cce08736_z.jpg,train,image_0018,/content/selected_images/PlantDoc/train/tomato_late_blight/image_0018.jpg,cached
PlantDoc,tomato_septoria_leaf_spot,https://raw.githubusercontent.com/pratikkayal/PlantDoc-Dataset/master/train/Tomato%20Septoria%20leaf%20spot/tomato-septoria-5-500x384.jpg,train,image_0019,/content/selected_images/PlantDoc/train/tomato_septoria_leaf_spot/image_0019.jpg,cached
PlantDoc,tomato_septoria_leaf_spot,https://raw.githubusercontent.com/pratikkayal/PlantDoc-Dataset/master/train/Tomato%20Septoria%20leaf%20spot/Septoria-leaf-spot-hc.jpg,train,image_0020,/content/selected_images/PlantDoc/train/tomato_septoria_leaf_spot/image_0020.jpg,cached
PlantVillage,tomato_healthy,https://raw.githubusercontent.com/spMohanty/PlantVillage-Dataset/master/raw/color/Tomato___healthy/e9392a5e-2fac-48c5-a23d-df3aa3f61048___GH_HL%20Leaf%20217.JPG,train,image_0021,/content/selected_images/PlantVillage/train/tomato_healthy/image_0021.jpg,cached
PlantDoc,tomato_early_blight,https://raw.githubusercontent.com/pratikkayal/PlantDoc-Dataset/master/train/Tomato%20Early%20blight%20leaf/Tomato-diseases-prevention-treatment.-Early-blight..jpg,test,image_0022,/content/selected_images/PlantDoc/test/tomato_early_blight/image_0022.jpg,cached
PlantVillage,tomato_late_blight,https://raw.githubusercontent.com/spMohanty/PlantVillage-Dataset/master/raw/color/Tomato___Late_blight/0c47de5b-adbe-479f-8ccf-5b8c530c32f8___RS_Late.B%206312.JPG,train,image_0023,/content/selected_images/PlantVillage/train/tomato_late_blight/image_0023.jpg,cached
PlantDoc,tomato_early_blight,https://raw.githubusercontent.com/pratikkayal/PlantDoc-Dataset/master/train/Tomato%20Early%20blight%20leaf/tomato_blight_early.jpg,train,image_0024,/content/selected_images/PlantDoc/train/tomato_early_blight/image_0024.jpg,cached
PlantVillage,pepper_healthy,https://raw.githubusercontent.com/spMohanty/PlantVillage-Dataset/master/raw/color/Pepper%2C_bell___healthy/fe978613-05fc-4b11-a2d0-2175915f74c1___JR_HL%208105.JPG,train,image_0025,/content/selected_images/PlantVillage/train/pepper_healthy/image_0025.jpg,cached
PlantVillage,tomato_bacterial_spot,https://raw.githubusercontent.com/spMohanty/PlantVillage-Dataset/master/raw/color/Tomato___Bacterial_spot/10c418e8-59b3-4d9f-a22b-7762b538e758___UF.GRC_BS_Lab%20Leaf%200900.JPG,train,image_0026,/content/selected_images/PlantVillage/train/tomato_bacterial_spot/image_0026.jpg,cached
PlantDoc,pepper_healthy,https://raw.githubusercontent.com/pratikkayal/PlantDoc-Dataset/master/train/Bell_pepper%20leaf/DSCN5835_original.JPG%3F1472909566.jpg,train,image_0027,/content/selected_images/PlantDoc/train/pepper_healthy/image_0027.jpg,cached
PlantDoc,tomato_septoria_leaf_spot,https://raw.githubusercontent.com/pratikkayal/PlantDoc-Dataset/master/train/Tomato%20Septoria%20leaf%20spot/tomato-septoria-5.jpg,train,image_0028,/content/selected_images/PlantDoc/train/tomato_septoria_leaf_spot/image_0028.jpg,cached
PlantVillage,pepper_leaf_spot,https://raw.githubusercontent.com/spMohanty/PlantVillage-Dataset/master/raw/color/Pepper%2C_bell___Bacterial_spot/188f102a-6f64-4180-9d38-f98b61aaec60___JR_B.Spot%209014.JPG,train,image_0029,/content/selected_images/PlantVillage/train/pepper_leaf_spot/image_0029.jpg,cached
PlantDoc,tomato_healthy,https://raw.githubusercontent.com/pratikkayal/PlantDoc-Dataset/master/train/Tomato%20leaf/p1011399.jpg,train,image_0030,/content/selected_images/PlantDoc/train/tomato_healthy/image_0030.jpg,cached
PlantVillage,pepper_leaf_spot,https://raw.githubusercontent.com/spMohanty/PlantVillage-Dataset/master/raw/color/Pepper%2C_bell___Bacterial_spot/0fe8a42b-b943-43d6-88c4-78abdcbfe02d___NREC_B.Spot%209236.JPG,test,image_0031,/content/selected_images/PlantVillage/test/pepper_leaf_spot/image_0031.jpg,cached
PlantDoc,tomato_healthy,https://raw.githubusercontent.com/pratikkayal/PlantDoc-Dataset/master/train/Tomato%20leaf/tomato-leaf-6424287.jpg,train,image_0032,/content/selected_images/PlantDoc/train/tomato_healthy/image_0032.jpg,cached
PlantVillage,tomato_healthy,https://raw.githubusercontent.com/spMohanty/PlantVillage-Dataset/master/raw/color/Tomato___healthy/ea0a8316-361e-4224-a700-5b86a8b93774___GH_HL%20Leaf%20209.JPG,train,image_0033,/content/selected_images/PlantVillage/train/tomato_healthy/image_0033.jpg,cached
PlantDoc,tomato_late_blight,https://raw.githubusercontent.com/pratikkayal/PlantDoc-Dataset/master/train/Tomato%20leaf%20late%20blight/IMG_1526.jpg,train,image_0034,/content/selected_images/PlantDoc/train/tomato_late_blight/image_0034.jpg,cached
PlantDoc,tomato_bacterial_spot,https://raw.githubusercontent.com/pratikkayal/PlantDoc-Dataset/master/train/Tomato%20leaf%20bacterial%20spot/a3fb24f84fe70e5d37352d13106531d6.jpg,train,image_0035,/content/selected_images/PlantDoc/train/tomato_bacterial_spot/image_0035.jpg,cached
PlantVillage,tomato_late_blight,https://raw.githubusercontent.com/spMohanty/PlantVillage-Dataset/master/raw/color/Tomato___Late_blight/c95eaeb8-7673-4411-bbbe-b2464526f303___RS_Late.B%206233.JPG,train,image_0036,/content/selected_images/PlantVillage/train/tomato_late_blight/image_0036.jpg,cached
PlantVillage,pepper_healthy,https://raw.githubusercontent.com/spMohanty/PlantVillage-Dataset/master/raw/color/Pepper%2C_bell___healthy/fb02614c-dcbd-4e7d-9ec6-ab3c5bf267ad___JR_HL%207626.JPG,train,image_0037,/content/selected_images/PlantVillage/train/pepper_healthy/image_0037.jpg,cached
PlantVillage,tomato_healthy,https://raw.githubusercontent.com/spMohanty/PlantVillage-Dataset/master/raw/color/Tomato___healthy/b1f50b66-747a-4394-ae03-1d5c201c1bb8___RS_HL%209664.JPG,test,image_0038,/content/selected_images/PlantVillage/test/tomato_healthy/image_0038.jpg,cached
PlantDoc,tomato_septoria_leaf_spot,https://raw.githubusercontent.com/pratikkayal/PlantDoc-Dataset/master/train/Tomato%20Septoria%20leaf%20spot/vdu-tomato-sept-eb-285x300.jpg,test,image_0039,/content/selected_images/PlantDoc/test/tomato_septoria_leaf_spot/image_0039.jpg,cached
PlantDoc,pepper_healthy,https://raw.githubusercontent.com/pratikkayal/PlantDoc-Dataset/master/train/Bell_pepper%20leaf/28a593.jpg,train,image_0040,/content/selected_images/PlantDoc/train/pepper_healthy/image_0040.jpg,cached
PlantVillage,pepper_healthy,https://raw.githubusercontent.com/spMohanty/PlantVillage-Dataset/master/raw/color/Pepper%2C_bell___healthy/22066048-462c-4d8d-9b42-ef0cd0c632a9___JR_HL%208631.JPG,train,image_0041,/content/selected_images/PlantVillage/train/pepper_healthy/image_0041.jpg,cached
PlantDoc,tomato_bacterial_spot,https://raw.githubusercontent.com/pratikkayal/PlantDoc-Dataset/master/train/Tomato%20leaf%20bacterial%20spot/Leaf-spots-on-tomato-leaves-Credits-Hank-Dankers_Q320.jpg,train,image_0042,/content/selected_images/PlantDoc/train/tomato_bacterial_spot/image_0042.jpg,cached
PlantDoc,tomato_healthy,https://raw.githubusercontent.com/pratikkayal/PlantDoc-Dataset/master/train/Tomato%20leaf/tomato-vine-ripe-leaves-isolated-against-white-34863029.jpg,test,image_0043,/content/selected_images/PlantDoc/test/tomato_healthy/image_0043.jpg,cached
PlantVillage,tomato_healthy,https://raw.githubusercontent.com/spMohanty/PlantVillage-Dataset/master/raw/color/Tomato___healthy/79debbff-9c0f-4a5c-a4c7-4b2bc97406dc___RS_HL%200244.JPG,train,image_0044,/content/selected_images/PlantVillage/train/tomato_healthy/image_0044.jpg,cached
PlantDoc,tomato_septoria_leaf_spot,https://raw.githubusercontent.com/pratikkayal/PlantDoc-Dataset/master/train/Tomato%20Septoria%20leaf%20spot/Septoria_leaf_spot_tomato.jpg,train,image_0045,/content/selected_images/PlantDoc/train/tomato_septoria_leaf_spot/image_0045.jpg,cached
PlantVillage,tomato_early_blight,https://raw.githubusercontent.com/spMohanty/PlantVillage-Dataset/master/raw/color/Tomato___Early_blight/fdc50285-836e-4707-a17d-388b8179c87c___RS_Erly.B%207812.JPG,train,image_0046,/content/selected_images/PlantVillage/train/tomato_early_blight/image_0046.jpg,cached
PlantVillage,tomato_healthy,https://raw.githubusercontent.com/spMohanty/PlantVillage-Dataset/master/raw/color/Tomato___healthy/f3231f5f-c6cf-4a37-a3da-5d6e7a8afb0e___RS_HL%200450.JPG,train,image_0047,/content/selected_images/PlantVillage/train/tomato_healthy/image_0047.jpg,cached
PlantDoc,tomato_early_blight,https://raw.githubusercontent.com/pratikkayal/PlantDoc-Dataset/master/train/Tomato%20Early%20blight%20leaf/Tomato-early-blight_1_1-12wmver.jpg,train,image_0048,/content/selected_images/PlantDoc/train/tomato_early_blight/image_0048.jpg,cached
PlantDoc,tomato_bacterial_spot,https://raw.githubusercontent.com/pratikkayal/PlantDoc-Dataset/master/train/Tomato%20leaf%20bacterial%20spot/5114949114265600-600x272.jpeg.jpg,train,image_0049,/content/selected_images/PlantDoc/train/tomato_bacterial_spot/image_0049.jpg,cached
PlantDoc,tomato_leaf_mould,https://raw.githubusercontent.com/pratikkayal/PlantDoc-Dataset/master/train/Tomato%20mold%20leaf/tomato-leaf-mold.jpg,train,image_0050,/content/selected_images/PlantDoc/train/tomato_leaf_mould/image_0050.jpg,cached
PlantDoc,tomato_septoria_leaf_spot,https://raw.githubusercontent.com/pratikkayal/PlantDoc-Dataset/master/train/Tomato%20Septoria%20leaf%20spot/septoria-leaf-spot-tomato-1.jpg,train,image_0051,/content/selected_images/PlantDoc/train/tomato_septoria_leaf_spot/image_0051.jpg,cached
PlantVillage,tomato_early_blight,https://raw.githubusercontent.com/spMohanty/PlantVillage-Dataset/master/raw/color/Tomato___Early_blight/6376d980-2b10-4990-a58d-ca0e7dfc6af3___RS_Erly.B%208215.JPG,train,image_0052,/content/selected_images/PlantVillage/train/tomato_early_blight/image_0052.jpg,cached
PlantVillage,tomato_early_blight,https://raw.githubusercontent.com/spMohanty/PlantVillage-Dataset/master/raw/color/Tomato___Early_blight/79b737a7-eca5-4eb9-b30e-dd3e85640e55___RS_Erly.B%209492.JPG,train,image_0053,/content/selected_images/PlantVillage/train/tomato_early_blight/image_0053.jpg,cached
PlantVillage,tomato_septoria_leaf_spot,https://raw.githubusercontent.com/spMohanty/PlantVillage-Dataset/master/raw/color/Tomato___Septoria_leaf_spot/963549d4-2e44-4b10-8e73-9d955a80949c___Keller.St_CG%201946.JPG,train,image_0054,/content/selected_images/PlantVillage/train/tomato_septoria_leaf_spot/image_0054.jpg,cached
PlantDoc,pepper_healthy,https://raw.githubusercontent.com/pratikkayal/PlantDoc-Dataset/master/train/Bell_pepper%20leaf/image_1500x1500%25253E.jpeg%3F1472959493.jpg,train,image_0055,/content/selected_images/PlantDoc/train/pepper_healthy/image_0055.jpg,cached
PlantVillage,tomato_healthy,https://raw.githubusercontent.com/spMohanty/PlantVillage-Dataset/master/raw/color/Tomato___healthy/beda9c8f-88eb-43c7-9670-60bd8fd5c43e___RS_HL%200038.JPG,test,image_0056,/content/selected_images/PlantVillage/test/tomato_healthy/image_0056.jpg,cached
PlantDoc,tomato_bacterial_spot,https://raw.githubusercontent.com/pratikkayal/PlantDoc-Dataset/master/train/Tomato%20leaf%20bacterial%20spot/Leafspotx450xBugwood.jpg,train,image_0057,/content/selected_images/PlantDoc/train/tomato_bacterial_spot/image_0057.jpg,cached
PlantDoc,tomato_bacterial_spot,https://raw.githubusercontent.com/pratikkayal/PlantDoc-Dataset/master/train/Tomato%20leaf%20bacterial%20spot/13582051_f520.jpg,train,image_0058,/content/selected_images/PlantDoc/train/tomato_bacterial_spot/image_0058.jpg,cached
PlantVillage,pepper_leaf_spot,https://raw.githubusercontent.com/spMohanty/PlantVillage-Dataset/master/raw/color/Pepper%2C_bell___Bacterial_spot/5979f1be-c7a6-47c5-b438-60c3eab4218e___JR_B.Spot%209093.JPG,train,image_0059,/content/selected_images/PlantVillage/train/pepper_leaf_spot/image_0059.jpg,cached
PlantVillage,tomato_early_blight,https://raw.githubusercontent.com/spMohanty/PlantVillage-Dataset/master/raw/color/Tomato___Early_blight/197fa869-c124-436e-b3cd-bced95f52a8e___RS_Erly.B%207834.JPG,train,image_0060,/content/selected_images/PlantVillage/train/tomato_early_blight/image_0060.jpg,cached
PlantVillage,tomato_bacterial_spot,https://raw.githubusercontent.com/spMohanty/PlantVillage-Dataset/master/raw/color/Tomato___Bacterial_spot/8dea4cc9-85a5-412f-b16b-6bd339b9429d___GCREC_Bact.Sp%206069.JPG,train,image_0061,/content/selected_images/PlantVillage/train/tomato_bacterial_spot/image_0061.jpg,cached
PlantDoc,tomato_early_blight,https://raw.githubusercontent.com/pratikkayal/PlantDoc-Dataset/master/train/Tomato%20Early%20blight%20leaf/1576389-early%2520blight%2520symptoms.jpg,train,image_0062,/content/selected_images/PlantDoc/train/tomato_early_blight/image_0062.jpg,cached
PlantVillage,tomato_healthy,https://raw.githubusercontent.com/spMohanty/PlantVillage-Dataset/master/raw/color/Tomato___healthy/24336aa8-a0ad-404e-9669-3661d9920aec___GH_HL%20Leaf%20435.1.JPG,train,image_0063,/content/selected_images/PlantVillage/train/tomato_healthy/image_0063.jpg,cached
PlantVillage,tomato_early_blight,https://raw.githubusercontent.com/spMohanty/PlantVillage-Dataset/master/raw/color/Tomato___Early_blight/e2ce6add-93e2-4c1f-9ee3-2354d1542e8b___RS_Erly.B%207698.JPG,train,image_0064,/content/selected_images/PlantVillage/train/tomato_early_blight/image_0064.jpg,cached
PlantVillage,tomato_septoria_leaf_spot,https://raw.githubusercontent.com/spMohanty/PlantVillage-Dataset/master/raw/color/Tomato___Septoria_leaf_spot/89d94469-6bd0-4b98-8736-bf9a1247271f___Matt.S_CG%207410.JPG,train,image_0065,/content/selected_images/PlantVillage/train/tomato_septoria_leaf_spot/image_0065.jpg,cached
PlantVillage,pepper_leaf_spot,https://raw.githubusercontent.com/spMohanty/PlantVillage-Dataset/master/raw/color/Pepper%2C_bell___Bacterial_spot/3a03526d-0bf4-4898-9f0f-8a9c31afd3eb___JR_B.Spot%203380.JPG,train,image_0066,/content/selected_images/PlantVillage/train/pepper_leaf_spot/image_0066.jpg,cached
PlantDoc,tomato_leaf_mould,https://raw.githubusercontent.com/pratikkayal/PlantDoc-Dataset/master/train/Tomato%20mold%20leaf/23601051_1572608349449262_2029169498_o.jpg,train,image_0067,/content/selected_images/PlantDoc/train/tomato_leaf_mould/image_0067.jpg,cached
PlantDoc,pepper_leaf_spot,https://raw.githubusercontent.com/pratikkayal/PlantDoc-Dataset/master/train/Bell_pepper%20leaf%20spot/peppers_bacterial_spot_onpeppertransplant_zoom.jpg,test,image_0068,/content/selected_images/PlantDoc/test/pepper_leaf_spot/image_0068.jpg,cached
PlantDoc,pepper_leaf_spot,https://raw.githubusercontent.com/pratikkayal/PlantDoc-Dataset/master/train/Bell_pepper%20leaf%20spot/0.jpg,train,image_0069,/content/selected_images/PlantDoc/train/pepper_leaf_spot/image_0069.jpg,cached
PlantDoc,tomato_late_blight,https://raw.githubusercontent.com/pratikkayal/PlantDoc-Dataset/master/train/Tomato%20leaf%20late%20blight/LateBlt09_05.jpg,train,image_0070,/content/selected_images/PlantDoc/train/tomato_late_blight/image_0070.jpg,cached
PlantDoc,tomato_healthy,https://raw.githubusercontent.com/pratikkayal/PlantDoc-Dataset/master/train/Tomato%20leaf/L.peruv-assort.jpg,train,image_0071,/content/selected_images/PlantDoc/train/tomato_healthy/image_0071.jpg,cached
PlantDoc,tomato_healthy,https://raw.githubusercontent.com/pratikkayal/PlantDoc-Dataset/master/train/Tomato%20leaf/stock-vector-set-of-vector-elements-for-your-design-red-ripe-tomatoes-with-water-drops-tomato-leaves-and-tomato-203297116.jpg,train,image_0072,/content/selected_images/PlantDoc/train/tomato_healthy/image_0072.jpg,cached
PlantVillage,tomato_late_blight,https://raw.githubusercontent.com/spMohanty/PlantVillage-Dataset/master/raw/color/Tomato___Late_blight/319d4c9a-92d4-41ff-b351-f3d439233c9e___RS_Late.B%206357.JPG,train,image_0073,/content/selected_images/PlantVillage/train/tomato_late_blight/image_0073.jpg,cached
PlantDoc,tomato_bacterial_spot,https://raw.githubusercontent.com/pratikkayal/PlantDoc-Dataset/master/train/Tomato%20leaf%20bacterial%20spot/CankerFoliar-copy-50-QUALITY-122b09b.jpg,train,image_0074,/content/selected_images/PlantDoc/train/tomato_bacterial_spot/image_0074.jpg,cached
PlantVillage,tomato_septoria_leaf_spot,https://raw.githubusercontent.com/spMohanty/PlantVillage-Dataset/master/raw/color/Tomato___Septoria_leaf_spot/102edb0a-780d-4b7e-b31e-c06e5e85211f___Matt.S_CG%202588.JPG,train,image_0075,/content/selected_images/PlantVillage/train/tomato_septoria_leaf_spot/image_0075.jpg,cached
PlantVillage,pepper_leaf_spot,https://raw.githubusercontent.com/spMohanty/PlantVillage-Dataset/master/raw/color/Pepper%2C_bell___Bacterial_spot/9ef2ed30-14d6-4711-92b3-9a9fbf435c9f___NREC_B.Spot%209049.JPG,test,image_0076,/content/selected_images/PlantVillage/test/pepper_leaf_spot/image_0076.jpg,cached
PlantDoc,tomato_bacterial_spot,https://raw.githubusercontent.com/pratikkayal/PlantDoc-Dataset/master/train/Tomato%20leaf%20bacterial%20spot/71c944d61b08f6373a9a38d3c250cb2e.jpg,test,image_0077,/content/selected_images/PlantDoc/test/tomato_bacterial_spot/image_0077.jpg,cached
PlantVillage,tomato_bacterial_spot,https://raw.githubusercontent.com/spMohanty/PlantVillage-Dataset/master/raw/color/Tomato___Bacterial_spot/d489099b-31cf-484f-a0d6-46f24e6875ab___GCREC_Bact.Sp%203523.JPG,train,image_0078,/content/selected_images/PlantVillage/train/tomato_bacterial_spot/image_0078.jpg,cached
PlantDoc,tomato_septoria_leaf_spot,https://raw.githubusercontent.com/pratikkayal/PlantDoc-Dataset/master/train/Tomato%20Septoria%20leaf%20spot/leafspot-5aba8283642dca003687f6fa.jpg,train,image_0079,/content/selected_images/PlantDoc/train/tomato_septoria_leaf_spot/image_0079.jpg,cached
PlantVillage,tomato_early_blight,https://raw.githubusercontent.com/spMohanty/PlantVillage-Dataset/master/raw/color/Tomato___Early_blight/6cd7bfa5-f336-4227-b8cf-3461dedc3b43___RS_Erly.B%207346.JPG,train,image_0080,/content/selected_images/PlantVillage/train/tomato_early_blight/image_0080.jpg,cached
PlantDoc,pepper_healthy,https://raw.githubusercontent.com/pratikkayal/PlantDoc-Dataset/master/train/Bell_pepper%20leaf/uGz0O.jpg,train,image_0081,/content/selected_images/PlantDoc/train/pepper_healthy/image_0081.jpg,cached
PlantDoc,pepper_healthy,https://raw.githubusercontent.com/pratikkayal/PlantDoc-Dataset/master/train/Bell_pepper%20leaf/b085c28357a5f7839c2dcf582acc9e52.jpg,train,image_0082,/content/selected_images/PlantDoc/train/pepper_healthy/image_0082.jpg,cached
PlantVillage,tomato_early_blight,https://raw.githubusercontent.com/spMohanty/PlantVillage-Dataset/master/raw/color/Tomato___Early_blight/e2e1bccc-15ec-47f8-8ee7-d33be16fac07___RS_Erly.B%209523.JPG,train,image_0083,/content/selected_images/PlantVillage/train/tomato_early_blight/image_0083.jpg,cached
PlantDoc,pepper_leaf_spot,https://raw.githubusercontent.com/pratikkayal/PlantDoc-Dataset/master/train/Bell_pepper%20leaf%20spot/pepper_phytophtera12x500.jpg,train,image_0084,/content/selected_images/PlantDoc/train/pepper_leaf_spot/image_0084.jpg,cached
PlantDoc,tomato_healthy,https://raw.githubusercontent.com/pratikkayal/PlantDoc-Dataset/master/train/Tomato%20leaf/tomato-leaf.jpg,test,image_0085,/content/selected_images/PlantDoc/test/tomato_healthy/image_0085.jpg,cached
PlantDoc,tomato_early_blight,https://raw.githubusercontent.com/pratikkayal/PlantDoc-Dataset/master/test/Tomato%20Early%20blight%20leaf/earlyblight21_.jpg,train,image_0086,/content/selected_images/PlantDoc/train/tomato_early_blight/image_0086.jpg,cached
PlantDoc,tomato_bacterial_spot,https://raw.githubusercontent.com/pratikkayal/PlantDoc-Dataset/master/test/Tomato%20leaf%20bacterial%20spot/Tomato%252BBacterial%252BSpot%252Bon%252BLeaves.jpg,test,image_0087,/content/selected_images/PlantDoc/test/tomato_bacterial_spot/image_0087.jpg,cached
PlantVillage,pepper_leaf_spot,https://raw.githubusercontent.com/spMohanty/PlantVillage-Dataset/master/raw/color/Pepper%2C_bell___Bacterial_spot/42ef264d-f255-4674-885a-0921a0e7f649___JR_B.Spot%209022.JPG,test,image_0088,/content/selected_images/PlantVillage/test/pepper_leaf_spot/image_0088.jpg,cached
PlantDoc,tomato_healthy,https://raw.githubusercontent.com/pratikkayal/PlantDoc-Dataset/master/train/Tomato%20leaf/late_blight_tomato_leaf4x1200.jpg,train,image_0089,/content/selected_images/PlantDoc/train/tomato_healthy/image_0089.jpg,cached
PlantVillage,tomato_septoria_leaf_spot,https://raw.githubusercontent.com/spMohanty/PlantVillage-Dataset/master/raw/color/Tomato___Septoria_leaf_spot/2365ce1e-195c-4cf9-a38d-927f0faa489a___JR_Sept.L.S%202725.JPG,test,image_0090,/content/selected_images/PlantVillage/test/tomato_septoria_leaf_spot/image_0090.jpg,cached
PlantDoc,tomato_late_blight,https://raw.githubusercontent.com/pratikkayal/PlantDoc-Dataset/master/train/Tomato%20leaf%20late%20blight/late-blight-tom-leaf.jpg,train,image_0091,/content/selected_images/PlantDoc/train/tomato_late_blight/image_0091.jpg,cached
PlantDoc,pepper_healthy,https://raw.githubusercontent.com/pratikkayal/PlantDoc-Dataset/master/train/Bell_pepper%20leaf/CMZEb.jpg,train,image_0092,/content/selected_images/PlantDoc/train/pepper_healthy/image_0092.jpg,cached
